window_id,zone_id,n_valid,n_detected,detection_rate,label,top_type,temperature_c,humidity_pct,wind_speed,wind_from_deg,rain_1h_mm,weather_basis,window_start,prev_rate,prev_label
W-20260618-0730,U01,7,2,0.2857142857142857,0,기타,19.9,82,1.1,202.5,0.0,synthetic_climatology,2026-06-18 07:30:00,,
W-20260618-0730,U02,7,0,0.0,0,,19.9,82,1.1,202.5,0.0,synthetic_climatology,2026-06-18 07:30:00,,
W-20260618-0730,U03,6,1,0.16666666666666666,0,하수계 추정,19.9,82,1.1,202.5,0.0,synthetic_climatology,2026-06-18 07:30:00,,
W-20260618-1230,U01,6,0,0.0,0,,26.7,47,2.9,225.0,0.0,synthetic_climatology,2026-06-18 12:30:00,0.2857142857142857,0.0
W-20260618-1230,U02,7,0,0.0,0,,26.7,47,2.9,225.0,0.0,synthetic_climatology,2026-06-18 12:30:00,0.0,0.0
W-20260618-1230,U03,5,0,0.0,0,,26.7,47,2.9,225.0,0.0,synthetic_climatology,2026-06-18 12:30:00,0.16666666666666666,0.0
W-20260618-1830,U01,7,0,0.0,0,,23.4,74,2.2,180.0,0.0,synthetic_climatology,2026-06-18 18:30:00,0.0,0.0
W-20260618-1830,U02,5,0,0.0,0,,23.4,74,2.2,180.0,0.0,synthetic_climatology,2026-06-18 18:30:00,0.0,0.0
W-20260618-1830,U03,6,0,0.0,0,,23.4,74,2.2,180.0,0.0,synthetic_climatology,2026-06-18 18:30:00,0.0,0.0
W-20260618-2200,U01,7,0,0.0,0,,21.0,80,0.7,0.0,0.0,synthetic_climatology,2026-06-18 22:00:00,0.0,0.0
W-20260618-2200,U02,7,0,0.0,0,,21.0,80,0.7,0.0,0.0,synthetic_climatology,2026-06-18 22:00:00,0.0,0.0
W-20260618-2200,U03,6,0,0.0,0,,21.0,80,0.7,0.0,0.0,synthetic_climatology,2026-06-18 22:00:00,0.0,0.0
W-20260619-0730,U01,7,0,0.0,0,,14.2,100,0.5,180.0,0.5,synthetic_climatology,2026-06-19 07:30:00,0.0,0.0
W-20260619-0730,U02,7,1,0.14285714285714285,0,구분 어려움,14.2,100,0.5,180.0,0.5,synthetic_climatology,2026-06-19 07:30:00,0.0,0.0
W-20260619-0730,U03,5,2,0.4,0,축산계 추정,14.2,100,0.5,180.0,0.5,synthetic_climatology,2026-06-19 07:30:00,0.0,0.0
W-20260619-1230,U01,6,0,0.0,0,,20.6,77,6.4,157.5,1.5,synthetic_climatology,2026-06-19 12:30:00,0.0,0.0
W-20260619-1230,U02,7,0,0.0,0,,20.6,77,6.4,157.5,1.5,synthetic_climatology,2026-06-19 12:30:00,0.14285714285714285,0.0
W-20260619-1230,U03,5,0,0.0,0,,20.6,77,6.4,157.5,1.5,synthetic_climatology,2026-06-19 12:30:00,0.4,0.0
W-20260619-1830,U01,6,0,0.0,0,,18.1,92,1.9,270.0,0.0,synthetic_climatology,2026-06-19 18:30:00,0.0,0.0
W-20260619-1830,U02,7,1,0.14285714285714285,0,축산계 추정,18.1,92,1.9,270.0,0.0,synthetic_climatology,2026-06-19 18:30:00,0.0,0.0
W-20260619-1830,U03,6,0,0.0,0,,18.1,92,1.9,270.0,0.0,synthetic_climatology,2026-06-19 18:30:00,0.0,0.0
W-20260619-2200,U01,7,3,0.42857142857142855,0,하수계 추정,15.3,100,1.6,135.0,0.0,synthetic_climatology,2026-06-19 22:00:00,0.0,0.0
W-20260619-2200,U02,7,2,0.2857142857142857,0,하수계 추정,15.3,100,1.6,135.0,0.0,synthetic_climatology,2026-06-19 22:00:00,0.14285714285714285,0.0
W-20260619-2200,U03,6,1,0.16666666666666666,0,하수계 추정,15.3,100,1.6,135.0,0.0,synthetic_climatology,2026-06-19 22:00:00,0.0,0.0
W-20260620-0730,U01,7,0,0.0,0,,12.8,85,1.9,157.5,0.0,synthetic_climatology,2026-06-20 07:30:00,0.42857142857142855,0.0
W-20260620-0730,U02,6,0,0.0,0,,12.8,85,1.9,157.5,0.0,synthetic_climatology,2026-06-20 07:30:00,0.2857142857142857,0.0
W-20260620-0730,U03,6,1,0.16666666666666666,0,하수계 추정,12.8,85,1.9,157.5,0.0,synthetic_climatology,2026-06-20 07:30:00,0.16666666666666666,0.0
